concept,qualifier,context,type
level,address,organization,string
joining,marriage,location,date
manager_status,product,employee,boolean
time,employee,customer,string
status,anniversary,user,string
joining,manager,user,date
progress,user,customer,string
joining,termination,organization,date
number,address,bank,integer
employee_number,geographical,product,integer
area,customer,school,string
joining,manager,shape,date
country,ID,employee,string
country,product,user,string
number,,store,integer
joining,passport,customer,date
birth,marriage,location,
zip,marriage,product,integer
status,social,store,string
gender,product,location,string
phone,anniversary,employee,string
date,ID,bank,date
month,,government,
status,postal,government,enumeration
weight,termination,university,float
email,termination,organization,string
zip,postal,organization,integer
level,passport,shape,string
employee_number,work,shape,integer
grade,customer,government,enumeration
date,termination,employee,date
phone,social,user,string
anniversary,employment,user,date
day,passport,customer,
month,employee,employee,
name,product,user,string
area,termination,bank,string
employee_number,social,school,integer
weight,work,organization,float
birth,postal,bank,
weight,ID,user,float
joining,employee,school,date
email,work,customer,string
salary,geographical,shape,float
anniversary,anniversary,employee,date
gender,ID,employee,string
exit,termination,product,
phone,,user,string
area,ID,university,string
employee_number,geographical,user,integer
passport,,shape,string
anniversary,marriage,shape,date
zip,manager,customer,integer
passport,employment,government,string
manager_status,marriage,shape,boolean
city,product,shape,string
city,customer,organization,string
level,marriage,store,string
level,ID,bank,string
salary,employee,organization,float
city,passport,user,string
weight,work,shape,float
progress,user,store,string
exit,address,store,
area,postal,location,string
ID,anniversary,product,integer
email,address,school,string
phone,postal,user,string
salary,ID,customer,float
day,marriage,customer,
exit,geographical,user,
passport,postal,employee,string
termination,address,government,date
birth,user,bank,
manager_status,,product,boolean
salary,ID,government,float
country,manager,school,string
time,ID,store,string
ID,employment,customer,integer
termination,manager,customer,date
class,product,user,string
day,anniversary,customer,
phone,postal,employee,string
day,address,store,
city,postal,store,string
phone,customer,government,string
employee_number,termination,customer,integer
month,passport,university,
ID,work,location,integer
phone,passport,university,string
zip,employment,user,integer
ID,user,school,integer
time,marriage,location,string
passport,employee,shape,string
exit,ID,university,
exit,order,employee,
email,customer,bank,string
ID,postal,store,integer
email,marriage,school,string
status,order,school,string
year,marriage,employee,
level,anniversary,employee,string
city,manager,university,string
weight,address,location,float
day,ID,user,
birth,postal,customer,
date,order,product,date
ID,passport,school,integer
weight,marriage,university,float
ID,work,university,integer
salary,address,store,float
employment,anniversary,university,boolean
marriage,address,organization,date
city,manager,government,string
birth,,bank,
year,geographical,user,
height,address,shape,float
area,postal,government,string
salary,product,university,float
city,employee,location,string
number,employee,university,integer
employee_number,marriage,location,integer
height,,store,float
area,marriage,employee,string
email,social,product,string
passport,product,organization,string
manager_status,user,product,boolean
date,termination,school,date
marriage,employee,user,date
month,social,user,
weight,,shape,float
area,anniversary,customer,string
exit,employee,shape,
height,termination,employee,float
passport,marriage,government,string
grade,postal,shape,string
time,anniversary,user,string
passport,user,organization,string
email,social,product,string
level,,employee,string
date,customer,school,date
month,work,shape,
anniversary,employee,location,date
progress,,organization,string
number,work,product,integer
employment,employee,bank,boolean
level,passport,user,string
birth,passport,store,
joining,customer,university,date
gender,work,school,string
employee_number,social,store,integer
salary,user,user,float
anniversary,customer,employee,date
joining,passport,location,date
grade,customer,shape,string
employment,address,product,boolean
marriage,geographical,employee,date
status,anniversary,organization,string
email,order,product,string
gender,ID,product,string
ID,passport,location,integer
marriage,social,university,date
birth,customer,customer,
status,customer,shape,string
date,termination,school,date
day,passport,user,
time,ID,location,string
gender,address,shape,string
time,employee,school,string
year,passport,government,
area,manager,employee,string
birth,product,store,
grade,order,user,string
status,,product,string
anniversary,,bank,date
manager_status,employment,government,boolean
year,work,school,
employee_number,address,government,integer
termination,geographical,shape,date
country,product,location,enumeration
progress,work,bank,string
phone,postal,product,string
city,work,store,string
progress,ID,customer,string
height,employee,location,float
employment,user,store,boolean
height,passport,customer,float
time,marriage,product,string
employment,employment,school,boolean
class,work,university,string
employee_number,user,location,integer
email,order,school,string
time,marriage,shape,string
height,marriage,customer,float
joining,user,school,date
name,marriage,user,string
employee_number,order,customer,integer
status,ID,shape,string
name,passport,user,string
month,employee,school,
date,user,government,date
city,geographical,organization,string
email,termination,location,string
joining,user,bank,date
salary,manager,shape,float
birth,user,university,
country,customer,bank,string
email,customer,school,string
employee_number,passport,user,integer
salary,order,customer,float
weight,ID,bank,float
class,termination,product,string
passport,product,user,string
city,passport,organization,string
salary,termination,customer,float
birth,employment,location,
year,manager,government,
class,postal,product,string
year,marriage,organization,
year,employee,customer,
number,employee,organization,integer
birth,social,location,
anniversary,address,user,date
marriage,ID,customer,date
name,anniversary,school,string
marriage,anniversary,shape,date
city,ID,bank,string
employee_number,ID,store,integer
ID,manager,product,integer
marriage,employment,government,date
class,ID,employee,string
email,address,university,string
time,anniversary,user,string
year,social,shape,
month,product,university,
height,marriage,employee,float
number,order,customer,integer
number,postal,product,integer
employment,anniversary,organization,boolean
area,employment,product,string
class,order,shape,string
number,customer,government,integer
class,geographical,location,enumeration
date,postal,school,date
number,passport,bank,integer
employee_number,marriage,organization,integer
progress,postal,user,string
country,user,university,string
anniversary,passport,store,date
gender,customer,user,string
year,order,user,
salary,passport,shape,float
progress,manager,location,enumeration
marriage,employee,store,date
date,customer,university,date
level,passport,university,string
area,passport,university,string
grade,user,user,string
progress,employment,shape,string
marriage,social,user,date
status,postal,school,string
employee_number,termination,school,integer
zip,geographical,university,integer
employment,order,location,boolean
country,,product,string
time,manager,location,string
day,ID,university,
ID,geographical,customer,integer
year,user,government,
progress,,product,string
status,address,university,string
status,postal,shape,string
number,employee,shape,integer
grade,employment,shape,string
progress,work,university,string
birth,order,shape,
area,manager,shape,string
time,postal,employee,string
email,work,employee,string
month,social,bank,
country,work,customer,string
time,manager,organization,string
name,customer,user,string
grade,marriage,shape,string
salary,order,bank,float
month,product,school,
city,,location,string
passport,marriage,organization,string
passport,termination,store,string
email,postal,bank,string
joining,,product,date
grade,employee,location,enumeration
email,customer,university,string
weight,order,customer,float
level,postal,employee,string
date,marriage,university,date
day,passport,product,
date,work,university,date
name,user,bank,string
name,ID,store,string
exit,postal,customer,
name,customer,government,string
gender,address,shape,string
city,ID,customer,string
height,marriage,bank,float
day,termination,location,
level,social,organization,string
year,address,location,
ID,marriage,university,integer
name,employment,school,string
day,social,school,
salary,manager,school,float
day,order,customer,
status,employment,store,string
marriage,employment,government,date
marriage,user,government,date
exit,user,government,
anniversary,customer,customer,date
marriage,social,user,date
anniversary,postal,government,date
height,work,bank,float
name,geographical,employee,string
anniversary,user,user,date
year,marriage,store,
phone,geographical,location,string
birth,anniversary,school,
ID,employment,user,integer
salary,marriage,store,float
height,customer,shape,float
joining,marriage,customer,date
grade,order,user,string
area,user,customer,string
city,,employee,string
weight,postal,university,float
area,marriage,government,string
year,order,location,
employment,geographical,organization,boolean
anniversary,anniversary,customer,date
email,marriage,shape,string
area,work,bank,string
manager_status,termination,university,boolean
phone,manager,university,string
date,ID,employee,date
manager_status,order,school,boolean
status,employment,organization,string
ID,order,store,integer
name,passport,school,string
gender,customer,location,string
month,manager,university,
marriage,employment,organization,date
termination,geographical,employee,date
name,ID,school,string
birth,postal,product,
level,marriage,product,string
day,employee,government,
phone,termination,organization,string
joining,geographical,organization,date
marriage,address,customer,date
joining,marriage,government,date
level,termination,store,string
email,employment,user,string
class,customer,organization,string
progress,ID,university,string
year,employment,store,
class,customer,employee,string
exit,,location,
marriage,ID,shape,date
employee_number,employee,government,integer
country,address,bank,string
employee_number,,shape,integer
zip,social,shape,integer
email,social,university,string
zip,manager,school,integer
employment,anniversary,shape,boolean
date,anniversary,employee,date
email,customer,product,string
termination,address,shape,date
joining,geographical,school,date
marriage,manager,customer,date
phone,passport,organization,string
weight,postal,user,float
progress,address,university,string
area,,customer,string
zip,marriage,employee,integer
weight,address,employee,float
birth,employee,school,
exit,user,location,
manager_status,termination,university,boolean
salary,postal,university,float
exit,product,customer,
birth,address,shape,
country,social,organization,string
employment,,shape,boolean
joining,work,location,date
country,ID,government,enumeration
progress,user,government,enumeration
zip,user,bank,integer
month,marriage,product,
anniversary,,customer,date
passport,social,school,string
progress,product,store,string
anniversary,passport,store,date
progress,anniversary,store,string
phone,customer,location,string
joining,customer,organization,date
marriage,termination,university,date
height,user,employee,float
zip,anniversary,location,integer
city,,organization,string
joining,employment,location,date
date,postal,shape,date
month,address,store,
ID,anniversary,bank,integer
phone,order,store,string
zip,customer,organization,integer
employment,ID,shape,boolean
status,passport,store,string
number,social,customer,integer
birth,passport,product,
birth,employee,employee,
employee_number,marriage,school,integer
country,work,store,string
manager_status,passport,bank,boolean
employment,passport,organization,boolean
city,user,organization,string
gender,postal,user,string
weight,geographical,product,float
progress,termination,shape,string
city,social,university,string
year,marriage,customer,
gender,social,customer,string
country,anniversary,organization,string
year,,store,
email,marriage,customer,string
city,anniversary,store,string
phone,marriage,bank,string
month,,product,
ID,employment,school,integer
grade,order,government,enumeration
country,order,school,string
email,customer,school,string
employee_number,postal,school,integer
email,address,user,string
manager_status,social,university,boolean
joining,social,government,date
ID,product,product,integer
birth,anniversary,government,
salary,product,school,float
month,address,government,
gender,passport,product,string
area,termination,store,string
passport,address,product,string
city,anniversary,organization,string
ID,ID,bank,integer
city,manager,university,string
year,order,customer,
day,order,bank,
passport,product,organization,string
weight,geographical,user,float
email,order,university,string
height,,user,float
year,work,location,
joining,,employee,date
class,customer,user,string
level,anniversary,shape,string
gender,employment,employee,string
gender,ID,product,string
number,user,school,integer
country,postal,product,string
date,address,school,date
month,order,bank,
termination,postal,organization,date
birth,product,store,
height,anniversary,government,float
anniversary,work,employee,date
number,social,customer,integer
termination,,university,date
grade,anniversary,location,enumeration
time,address,product,string
manager_status,manager,organization,boolean
year,work,organization,
time,order,location,string
termination,customer,customer,date
progress,ID,user,string
employment,,customer,boolean
termination,,customer,date
termination,geographical,employee,date
employment,ID,store,boolean
marriage,work,store,date
grade,,shape,string
area,passport,university,string
year,,organization,
manager_status,product,bank,boolean
weight,product,government,float
number,geographical,customer,integer
birth,employee,location,
status,address,customer,string
birth,employee,location,
year,user,university,
birth,postal,school,
level,marriage,university,string
anniversary,postal,bank,date
ID,social,shape,integer
status,social,employee,string
employment,work,store,boolean
grade,passport,location,enumeration
employment,geographical,shape,boolean
joining,,location,date
gender,order,employee,string
year,employment,university,
marriage,,user,date
ID,social,shape,integer
employment,product,location,boolean
year,anniversary,shape,
name,social,shape,string
email,,store,string
passport,employment,location,string
day,work,employee,
joining,employment,store,date
time,,employee,string
number,manager,product,integer
status,passport,government,enumeration
salary,anniversary,product,float
exit,,government,
progress,user,store,string
passport,termination,university,string
zip,termination,organization,integer
level,product,shape,string
passport,ID,shape,string
year,,store,
weight,anniversary,university,float
zip,employee,bank,integer
level,social,university,string
grade,employee,organization,string
area,work,university,string
month,order,product,
ID,manager,bank,integer
class,order,employee,string
salary,work,store,float
country,geographical,shape,string
anniversary,social,organization,date
email,employee,user,string
month,customer,government,
ID,,school,integer
city,product,university,string
passport,ID,product,string
termination,employment,location,date
city,customer,employee,string
joining,,shape,date
country,manager,school,string
weight,work,store,float
birth,user,location,
city,work,bank,string
height,geographical,university,float
gender,employment,government,string
phone,employee,government,string
birth,geographical,user,
name,geographical,school,string
time,customer,government,string
status,user,product,string
progress,,bank,string
joining,customer,school,date
weight,work,school,float
ID,product,government,integer
email,social,store,string
marriage,passport,school,date
day,geographical,shape,
level,social,user,string
height,ID,government,float
progress,termination,store,string
anniversary,social,shape,date
employee_number,work,user,integer
marriage,marriage,employee,date
salary,geographical,user,float
manager_status,customer,customer,boolean
email,user,school,string
day,,bank,
grade,,government,enumeration
email,product,employee,string
employee_number,customer,customer,integer
year,order,bank,
progress,termination,store,string
city,postal,university,string
zip,,bank,integer
month,employee,school,
name,manager,shape,string
city,employment,product,string
year,,user,
joining,,store,date
country,customer,university,string
grade,social,user,string
class,address,school,string
name,marriage,government,string
class,passport,store,string
time,employee,employee,string
passport,passport,university,string
status,customer,government,enumeration
exit,social,customer,
city,user,government,string
weight,termination,location,float
weight,marriage,university,float
email,manager,government,string
level,order,shape,string
grade,manager,shape,string
gender,ID,store,string
birth,marriage,customer,
country,termination,user,string
class,social,organization,string
height,marriage,government,float
birth,social,product,
time,product,school,string
email,geographical,university,string
day,termination,government,
employee_number,anniversary,user,integer
employment,ID,government,boolean
gender,termination,organization,string
status,geographical,employee,string
employee_number,product,product,integer
height,anniversary,organization,float
grade,address,school,string
email,order,product,string
time,customer,organization,string
email,anniversary,school,string
class,customer,store,string
birth,postal,user,
class,geographical,university,string
progress,postal,organization,string
date,geographical,product,date
date,user,shape,date
month,social,customer,
email,employment,organization,string
manager_status,product,university,boolean
year,work,user,
passport,product,shape,string
city,user,school,string
employment,employment,shape,boolean
name,geographical,organization,string
birth,address,user,
ID,passport,school,integer
termination,user,bank,date
weight,order,product,float
month,employee,location,
weight,employee,government,float
gender,manager,employee,string
birth,postal,university,
level,employee,university,string
ID,product,university,integer
city,work,bank,string
date,social,user,date
employee_number,passport,shape,integer
birth,employment,school,
day,user,shape,
employment,employee,shape,boolean
number,geographical,employee,integer
day,customer,university,
date,customer,store,date
marriage,,university,date
weight,ID,bank,float
ID,,shape,integer
month,ID,employee,
manager_status,passport,location,boolean
day,passport,bank,
country,user,bank,string
grade,ID,government,enumeration
ID,employee,location,integer
manager_status,customer,university,boolean
anniversary,postal,shape,date
birth,anniversary,university,
level,work,product,string
marriage,passport,bank,date
salary,work,university,float
day,user,user,
joining,user,organization,date
joining,address,location,date
area,anniversary,shape,string
phone,employment,location,string
year,passport,government,
birth,marriage,university,
marriage,ID,university,date
year,employment,store,
joining,order,shape,date
progress,address,shape,string
grade,product,product,string
zip,termination,user,integer
anniversary,order,employee,date
employment,product,customer,boolean
month,manager,government,
class,anniversary,university,string
exit,employee,shape,
grade,employment,shape,string
exit,address,organization,
zip,manager,government,integer
progress,anniversary,customer,string
date,passport,organization,date
gender,,bank,string
termination,employment,government,date
ID,,government,integer
joining,postal,product,date
grade,ID,bank,string
employment,postal,location,boolean
joining,marriage,school,date
country,user,user,string
employment,postal,product,boolean
manager_status,termination,organization,boolean
exit,geographical,school,
termination,postal,bank,date
time,postal,shape,string
passport,social,organization,string
date,termination,school,date
month,product,product,
phone,social,customer,string
salary,social,user,float
salary,customer,customer,float
day,customer,product,
class,marriage,shape,string
height,marriage,location,float
time,order,government,string
marriage,anniversary,product,date
year,social,bank,
gender,postal,store,string
marriage,customer,organization,date
area,address,store,string
marriage,manager,employee,date
marriage,employment,customer,date
weight,user,location,float
class,marriage,organization,string
exit,customer,product,
manager_status,termination,location,boolean
passport,customer,product,string
day,,government,
time,geographical,location,string
date,work,organization,date
month,anniversary,government,
email,geographical,user,string
country,postal,school,string
status,social,store,string
city,ID,employee,string
date,social,location,date
passport,termination,user,string
employment,customer,employee,boolean
name,work,location,string
passport,social,organization,string
anniversary,postal,location,date
year,manager,product,
zip,manager,employee,integer
area,geographical,store,string
employee_number,address,organization,integer
day,work,school,
employee_number,work,bank,integer
progress,employment,location,enumeration
manager_status,passport,shape,boolean
exit,marriage,bank,
zip,employee,customer,integer
day,social,organization,
time,employee,university,string
month,address,organization,
manager_status,manager,product,boolean
joining,anniversary,product,date
joining,manager,location,date
year,customer,organization,
country,address,employee,string
number,passport,school,integer
date,marriage,government,date
level,geographical,government,enumeration
termination,work,organization,date
gender,ID,organization,string
status,ID,school,string
height,geographical,government,float
employee_number,employee,user,integer
gender,postal,location,string
grade,manager,bank,string
termination,product,user,date
weight,anniversary,store,float
anniversary,marriage,school,date
employee_number,order,organization,integer
anniversary,postal,location,date
progress,user,shape,string
year,product,shape,
email,,customer,string
date,anniversary,customer,date
anniversary,anniversary,store,date
phone,passport,store,string
level,customer,location,enumeration
grade,order,university,string
year,marriage,organization,
height,employment,employee,float
status,work,shape,string
email,anniversary,organization,string
number,marriage,store,integer
progress,geographical,organization,string
height,product,school,float
joining,postal,government,date
zip,,user,integer
salary,passport,shape,float
country,user,store,string
height,user,customer,float
weight,anniversary,organization,float
city,termination,product,string
zip,manager,store,integer
status,geographical,bank,string
height,social,user,float
month,anniversary,government,
class,order,customer,string
salary,order,school,float
anniversary,employee,shape,date
termination,marriage,product,date
level,address,location,enumeration
class,passport,bank,string
manager_status,work,product,boolean
grade,product,shape,string
ID,employee,store,integer
birth,geographical,employee,
phone,anniversary,government,string
status,work,government,enumeration
zip,user,shape,integer
number,product,product,integer
country,employment,government,enumeration
class,termination,location,enumeration
joining,social,school,date
employment,manager,location,boolean
number,employee,employee,integer
exit,user,school,
employee_number,work,store,integer
passport,work,product,string
level,work,university,string
zip,,customer,integer
city,passport,shape,string
weight,,school,float
weight,manager,school,float
email,,employee,string
email,social,location,string
anniversary,,employee,date
grade,employee,location,enumeration
progress,anniversary,school,string
exit,social,government,
manager_status,passport,government,boolean
area,order,store,string
gender,anniversary,location,string
status,anniversary,user,string
zip,marriage,user,integer
gender,marriage,university,string
exit,social,bank,
manager_status,manager,user,boolean
passport,,user,string
day,order,store,
passport,manager,store,string
time,order,store,string
joining,social,location,date
day,marriage,organization,
day,user,government,
anniversary,marriage,university,date
height,termination,user,float
level,user,shape,string
day,marriage,government,
name,,store,string
joining,marriage,product,date
weight,geographical,product,float
status,anniversary,employee,string
area,work,bank,string
grade,employee,customer,string
class,employment,store,string
height,social,customer,float
level,employment,university,string
progress,social,organization,string
status,,user,string
joining,passport,government,date
zip,work,government,integer
joining,customer,university,date
status,employment,store,string
day,social,shape,
number,employee,employee,integer
number,employment,organization,integer
phone,social,product,string
time,termination,organization,string
birth,employment,product,
employment,product,government,boolean
gender,customer,shape,string
number,product,product,integer
year,address,shape,
area,manager,government,string
status,termination,shape,string
status,user,user,string
zip,employment,product,integer
phone,,university,string
joining,manager,bank,date
month,product,store,
area,user,school,string
status,product,shape,string
birth,manager,government,
city,geographical,customer,string
employee_number,marriage,customer,integer
date,anniversary,user,date
termination,address,user,date
height,ID,user,float
city,product,user,string
grade,geographical,customer,string
area,social,user,string
grade,employee,organization,string
area,passport,location,string
termination,anniversary,customer,date
country,customer,product,string
joining,customer,customer,date
month,ID,employee,
zip,employee,customer,integer
month,user,location,
termination,anniversary,shape,date
anniversary,,customer,date
marriage,employee,organization,date
time,product,customer,string
salary,postal,shape,float
phone,employee,employee,string
termination,address,school,date
status,product,university,string
class,product,shape,string
zip,,customer,integer
employment,address,university,boolean
salary,employee,user,float
termination,passport,bank,date
gender,anniversary,school,string
level,social,shape,string
city,,university,string
joining,ID,location,date
height,geographical,product,float
email,passport,government,string
weight,employment,location,float
passport,user,school,string
progress,anniversary,customer,string
gender,product,location,string
email,order,shape,string
country,passport,employee,string
email,manager,bank,string
progress,ID,location,enumeration
employment,geographical,bank,boolean
salary,termination,shape,float
number,ID,user,integer
employment,marriage,university,boolean
passport,anniversary,school,string
termination,anniversary,shape,date
manager_status,marriage,organization,boolean
time,,government,string
name,employee,organization,string
employment,order,organization,boolean
manager_status,termination,product,boolean
birth,geographical,bank,
exit,social,location,
number,social,shape,integer
country,work,product,string
grade,manager,customer,string
area,,store,string
anniversary,marriage,school,date
date,manager,product,date
month,work,employee,
city,product,store,string
day,employment,organization,
level,address,product,string
height,ID,government,float
number,marriage,location,integer
number,order,university,integer
time,,product,string
status,employment,shape,string
manager_status,ID,user,boolean
anniversary,employee,government,date
exit,termination,store,
employment,anniversary,store,boolean
marriage,postal,store,date
progress,employee,product,string
country,manager,bank,string
employment,postal,school,boolean
progress,geographical,organization,string
ID,geographical,customer,integer
class,,user,string
class,user,employee,string
birth,work,organization,
salary,passport,customer,float
passport,employee,bank,string
ID,customer,bank,integer
name,,location,string
date,customer,university,date
number,anniversary,employee,integer
salary,work,university,float
country,product,user,string
city,customer,location,string
height,customer,product,float
weight,,product,float
salary,employee,bank,float
month,anniversary,bank,
month,ID,organization,
height,geographical,shape,float
year,anniversary,government,
zip,social,bank,integer
name,product,school,string
phone,employee,government,string
gender,termination,organization,string
weight,marriage,school,float
ID,termination,government,integer
employee_number,product,product,integer
grade,employment,university,string
phone,termination,government,string
marriage,postal,location,date
area,customer,bank,string
level,address,location,enumeration
progress,user,shape,string
height,address,university,float
employment,address,user,boolean
progress,social,organization,string
weight,social,bank,float
area,termination,user,string
year,marriage,user,
country,passport,organization,string
ID,employment,store,integer
month,employment,user,
day,geographical,customer,
exit,product,location,
email,postal,employee,string
ID,manager,store,integer
employee_number,manager,employee,integer
progress,ID,store,string
status,employment,shape,string
time,marriage,bank,string
anniversary,marriage,shape,date
employee_number,marriage,bank,integer
anniversary,passport,store,date
employment,passport,employee,boolean
date,passport,school,date
weight,passport,product,float
country,address,shape,string
grade,product,location,enumeration
number,postal,location,integer
manager_status,marriage,customer,boolean
zip,manager,employee,integer
time,user,shape,string
month,geographical,location,
ID,employee,employee,integer
class,user,location,enumeration
employee_number,employee,bank,integer
birth,ID,store,
ID,employment,organization,integer
status,,university,string
month,product,school,
area,customer,employee,string
manager_status,anniversary,customer,boolean
city,termination,store,string
level,manager,shape,string
number,ID,customer,integer
exit,employee,school,
time,social,school,string
employment,ID,school,boolean
exit,,store,
weight,ID,school,float
time,address,location,string
number,anniversary,government,integer
grade,postal,shape,string
progress,marriage,shape,string
date,termination,university,date
marriage,,organization,date
exit,employment,bank,
marriage,marriage,product,date
termination,order,store,date
number,employee,university,integer
progress,product,bank,string
year,address,government,
employee_number,employee,employee,integer
weight,employment,school,float
exit,user,government,
anniversary,product,government,date
country,postal,government,enumeration
weight,manager,government,float
manager_status,address,government,boolean
month,termination,store,
joining,ID,customer,date
anniversary,termination,bank,date
manager_status,user,customer,boolean
passport,ID,government,string
birth,employee,product,
joining,manager,school,date
marriage,termination,user,date
number,ID,shape,integer
month,geographical,product,
manager_status,manager,bank,boolean
year,postal,school,
level,manager,shape,string
employee_number,address,government,integer
salary,postal,customer,float
weight,ID,customer,float
status,anniversary,user,string
passport,postal,organization,string
date,postal,store,date
birth,employment,product,
grade,anniversary,government,enumeration
country,geographical,school,string
progress,passport,university,string
marriage,employee,location,date
level,employment,product,string
number,ID,university,integer
date,termination,customer,date
zip,address,university,integer
height,employment,bank,float
employment,work,customer,boolean
employee_number,manager,product,integer
area,anniversary,government,string
grade,manager,government,enumeration
area,address,bank,string
month,work,location,
city,employment,shape,string
date,product,store,date
gender,ID,bank,string
exit,employee,shape,
salary,anniversary,employee,float
date,social,customer,date
joining,termination,store,date
time,work,user,string
grade,manager,location,enumeration
manager_status,manager,organization,boolean
salary,ID,store,float
height,geographical,location,float
passport,termination,shape,string
exit,passport,store,
weight,geographical,employee,float
class,employment,shape,string
termination,social,customer,date
city,termination,shape,string
joining,anniversary,school,date
termination,product,government,date
passport,anniversary,organization,string
marriage,customer,employee,date
number,address,school,integer
joining,marriage,shape,date
weight,manager,organization,float
salary,order,location,float
area,work,university,string
name,user,school,string
class,marriage,university,string
day,social,bank,
month,order,university,
area,customer,product,string
exit,product,school,
progress,employee,user,string
gender,passport,customer,string
area,ID,bank,string
employment,passport,store,boolean
area,passport,university,string
day,geographical,shape,
height,,school,float
country,manager,store,string
weight,manager,employee,float
phone,user,shape,string
status,marriage,location,enumeration
ID,ID,shape,integer
grade,product,school,string
termination,postal,user,date
day,,location,
marriage,anniversary,customer,date
employment,,university,boolean
weight,employee,bank,float
area,,location,string
height,address,store,float
employee_number,work,university,integer
progress,employment,employee,string
ID,social,location,integer
employee_number,customer,store,integer
email,address,store,string
anniversary,postal,location,date
height,order,store,float
phone,product,bank,string
height,user,university,float
progress,customer,customer,string
email,passport,bank,string
marriage,passport,university,date
ID,employee,customer,integer
exit,social,employee,
class,geographical,user,string
termination,passport,product,date
area,product,bank,string
number,anniversary,university,integer
ID,ID,customer,integer
email,order,customer,string
height,geographical,product,float
day,geographical,location,
passport,postal,product,string
year,user,location,
area,,university,string
termination,address,shape,date
passport,ID,product,string
progress,manager,employee,string
email,passport,school,string
termination,termination,school,date
phone,employee,store,string
passport,manager,customer,string
status,product,customer,string
gender,,user,string
area,order,government,string
country,employee,customer,string
month,postal,shape,
employment,social,employee,boolean
name,,school,string
passport,user,employee,string
joining,social,bank,date
salary,employment,customer,float
status,employee,shape,string
height,address,product,float
employment,user,university,boolean
name,geographical,location,string
ID,passport,customer,integer
date,anniversary,customer,date
name,postal,store,string
city,manager,shape,string
joining,user,government,date
zip,marriage,employee,integer
employee_number,work,shape,integer
time,address,organization,string
exit,,organization,
progress,user,organization,string
year,marriage,government,
exit,user,product,
level,employee,shape,string
month,employee,user,
email,marriage,product,string
level,postal,customer,string
birth,marriage,customer,
phone,termination,organization,string
passport,ID,store,string
class,termination,location,enumeration
ID,postal,shape,integer
month,customer,shape,
year,termination,university,
date,product,school,date
employment,manager,user,boolean
zip,product,location,integer
exit,termination,government,
class,employment,bank,string
marriage,address,government,date
marriage,geographical,government,date
date,order,school,date
progress,customer,government,enumeration
status,employee,school,string
number,employee,university,integer
day,social,school,
city,employee,government,string
month,termination,product,
termination,geographical,store,date
employment,geographical,store,boolean
email,order,employee,string
anniversary,marriage,university,date
level,postal,product,string
salary,work,customer,float
joining,postal,government,date
level,product,school,string
time,postal,bank,string
ID,social,government,integer
employment,order,product,boolean
birth,order,product,
year,passport,university,
ID,social,school,integer
time,address,store,string
zip,product,location,integer
day,employee,shape,
city,,government,string
gender,marriage,customer,string
zip,social,product,integer
weight,manager,organization,float
status,termination,location,enumeration
progress,employment,location,enumeration
exit,anniversary,user,
class,customer,shape,string
grade,termination,government,enumeration
date,product,location,date
height,address,store,float
salary,geographical,user,float
salary,,shape,float
passport,order,product,string
day,,store,
weight,ID,shape,float
grade,customer,store,string
time,anniversary,university,string
passport,work,government,string
name,termination,customer,string
passport,passport,location,string
level,manager,location,enumeration
day,order,bank,
month,social,school,
anniversary,address,bank,date
year,,location,
number,postal,store,integer
day,,government,
passport,geographical,bank,string
name,ID,customer,string
weight,termination,store,float
height,marriage,customer,float
weight,marriage,employee,float
area,user,employee,string
height,employment,employee,float
employee_number,employee,product,integer
employment,customer,shape,boolean
ID,employee,government,integer
joining,manager,bank,date
day,employment,product,
country,manager,shape,string
employee_number,manager,bank,integer
salary,order,product,float
email,customer,product,string
anniversary,work,government,date
city,ID,user,string
employee_number,passport,organization,integer
passport,user,university,string
city,employee,employee,string
height,marriage,government,float
anniversary,marriage,university,date
status,work,store,string
salary,product,organization,float
area,product,store,string
anniversary,customer,user,date
joining,marriage,customer,date
joining,postal,location,date
day,geographical,university,
email,manager,organization,string
date,geographical,shape,date
year,product,government,
area,employment,government,string
gender,geographical,store,string
birth,user,customer,
height,address,location,float
name,product,employee,string
name,employee,bank,string
termination,work,university,date
email,marriage,shape,string
class,marriage,government,enumeration
date,termination,store,date
grade,manager,school,string
class,user,bank,string
day,,shape,
phone,marriage,customer,string
weight,termination,bank,float
level,geographical,government,enumeration
date,,university,date
joining,product,government,date
name,work,employee,string
gender,ID,employee,string
employment,order,store,boolean
day,manager,organization,
zip,anniversary,shape,integer
birth,passport,employee,
height,social,organization,float
day,ID,store,
employee_number,employment,university,integer
ID,user,customer,integer
marriage,marriage,shape,date
day,employee,store,
ID,user,university,integer
day,work,bank,
year,employee,organization,
email,passport,store,string
marriage,work,organization,date
name,manager,store,string
height,customer,shape,float
progress,anniversary,employee,string
exit,employment,product,
status,geographical,bank,string
progress,anniversary,bank,string
city,passport,organization,string
salary,ID,school,float
zip,social,organization,integer
weight,employee,employee,float
gender,user,employee,string
manager_status,passport,employee,boolean
manager_status,ID,product,boolean
manager_status,employee,bank,boolean
year,termination,customer,
name,anniversary,user,string
email,order,government,string
exit,postal,location,
gender,termination,school,string
area,user,organization,string
time,postal,store,string
country,passport,shape,string
level,employee,location,enumeration
name,social,location,string
country,anniversary,customer,string
date,ID,school,date
termination,anniversary,employee,date
phone,passport,store,string
country,manager,product,string
level,geographical,store,string
